canonical_id,uid,source_file,source_sheet,source_row_no,raw_name,city,province,org_type,anchor_id,cluster_match_score,needs_review,conflict_with_anchor,reasons
CANON-海康威视,S4-PPL-M-736,科技人才库与机构库_20260727.xlsx,人才库-M,736,"杭州海康威视数字技术股份有限公司","","",unknown,"海康威视",1.0000,0,0,"same_anchor_id"
CANON-海康威视,S4-PPL-M-749,科技人才库与机构库_20260727.xlsx,人才库-M,749,"杭州海康威视数字技术股份有限公司","","",unknown,"海康威视",1.0000,0,0,"same_anchor_id"
CANON-海康威视,S4-PPL-M-2622,科技人才库与机构库_20260727.xlsx,人才库-M,2622,"杭州海康威视数字技术股份有限公司","","",unknown,"海康威视",1.0000,0,0,"same_anchor_id"
CANON-海康威视,S4-PPL-M-3230,科技人才库与机构库_20260727.xlsx,人才库-M,3230,"杭州海康威视数字技术股份有限公司","","",unknown,"海康威视",1.0000,0,0,"same_anchor_id"
CANON-海康威视,S4-PPL-M-4007,科技人才库与机构库_20260727.xlsx,人才库-M,4007,"杭州海康威视数字技术股份有限公司","","",unknown,"海康威视",1.0000,0,0,"same_anchor_id"
CANON-海康威视,S4-PPL-M-4387,科技人才库与机构库_20260727.xlsx,人才库-M,4387,"杭州海康威视数字技术股份有限公司","","",unknown,"海康威视",1.0000,0,0,"same_anchor_id"
CANON-海康威视,S4-PPL-M-5864,科技人才库与机构库_20260727.xlsx,人才库-M,5864,"杭州海康威视数字技术股份有限公司","","",unknown,"海康威视",1.0000,0,0,"same_anchor_id"
CANON-海康威视,S4-PPL-M-6731,科技人才库与机构库_20260727.xlsx,人才库-M,6731,"杭州海康威视数字技术股份有限公司","","",unknown,"海康威视",1.0000,0,0,"same_anchor_id"
CANON-海康威视,S4-PPL-M-6815,科技人才库与机构库_20260727.xlsx,人才库-M,6815,"杭州海康威视数字技术股份有限公司","","",unknown,"海康威视",1.0000,0,0,"same_anchor_id"
CANON-S00001,S1-3,企业岗位数据,Sheet1,3,"追觅科技（苏州）有限公司","江苏省苏州市吴中区","江苏",company,"",1.0000,0,0,"singleton"
CANON-美的集团,S4-PPL-M-1893,科技人才库与机构库_20260727.xlsx,人才库-M,1893,"美的集团股份有限公司","","",unknown,"美的集团",1.0000,0,0,"same_anchor_id"
CANON-美的集团,S4-PPL-M-2043,科技人才库与机构库_20260727.xlsx,人才库-M,2043,"美的集团股份有限公司","","",unknown,"美的集团",1.0000,0,0,"same_anchor_id"
CANON-美的集团,S4-PPL-M-2998,科技人才库与机构库_20260727.xlsx,人才库-M,2998,"美的集团股份有限公司","","",unknown,"美的集团",1.0000,0,0,"same_anchor_id"
CANON-美的集团,S4-PPL-M-5068,科技人才库与机构库_20260727.xlsx,人才库-M,5068,"美的集团股份有限公司","","",unknown,"美的集团",1.0000,0,0,"same_anchor_id"
CANON-美的集团,S4-PPL-M-7303,科技人才库与机构库_20260727.xlsx,人才库-M,7303,"美的集团股份有限公司","","",unknown,"美的集团",1.0000,0,0,"same_anchor_id"
CANON-蚂蚁科技集团,S1-5,企业岗位数据,Sheet1,5,"蚂蚁科技集团股份有限公司","浙江省杭州市西湖区","浙江",company,"",1.0000,0,0,"name_cn_exact_norm|name_cn_jw_1.00|name_cn_jac_1.00|variant_overlap:蚂蚁科技集团股份有限公司|type_match"
CANON-蚂蚁科技集团,S4-ORG-43,科技人才库与机构库_20260727.xlsx,机构库,43,"蚂蚁科技集团股份有限公司","","",company,"蚂蚁科技集团",1.0000,0,0,"name_cn_exact_norm|name_cn_jw_1.00|name_cn_jac_1.00|variant_overlap:蚂蚁科技集团股份有限公司|type_match"
CANON-特斯拉,S1-6,企业岗位数据,Sheet1,6,"Tesla, Inc.","美国 加利福尼亚州 弗里蒙特","加利福尼亚州",company,"",1.0000,0,0,"name_cn_exact_norm|name_cn_jw_1.00|name_cn_jac_1.00|variant_overlap:Tesla, Inc.|type_match"
CANON-特斯拉,S4-ORG-1058,科技人才库与机构库_20260727.xlsx,机构库,1058,"Tesla,  Inc.","","",company,"特斯拉",1.0000,0,0,"name_cn_exact_norm|name_cn_jw_1.00|name_cn_jac_1.00|variant_overlap:Tesla, Inc.|type_match"
CANON-北京小米移动软件,S4-PPL-M-1269,科技人才库与机构库_20260727.xlsx,人才库-M,1269,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-1664,科技人才库与机构库_20260727.xlsx,人才库-M,1664,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-2234,科技人才库与机构库_20260727.xlsx,人才库-M,2234,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-2240,科技人才库与机构库_20260727.xlsx,人才库-M,2240,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-2401,科技人才库与机构库_20260727.xlsx,人才库-M,2401,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-2533,科技人才库与机构库_20260727.xlsx,人才库-M,2533,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-2581,科技人才库与机构库_20260727.xlsx,人才库-M,2581,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-3153,科技人才库与机构库_20260727.xlsx,人才库-M,3153,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-3312,科技人才库与机构库_20260727.xlsx,人才库-M,3312,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-3752,科技人才库与机构库_20260727.xlsx,人才库-M,3752,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-4074,科技人才库与机构库_20260727.xlsx,人才库-M,4074,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-4462,科技人才库与机构库_20260727.xlsx,人才库-M,4462,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-5173,科技人才库与机构库_20260727.xlsx,人才库-M,5173,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-北京小米移动软件,S4-PPL-M-7253,科技人才库与机构库_20260727.xlsx,人才库-M,7253,"北京小米移动软件有限公司","","",unknown,"北京小米移动软件",1.0000,0,0,"same_anchor_id"
CANON-软通动力信息技术集团,S4-PPL-M-992,科技人才库与机构库_20260727.xlsx,人才库-M,992,"软通动力信息技术(集团)股份有限公司","","",unknown,"软通动力信息技术集团",1.0000,0,0,"same_anchor_id"
CANON-软通动力信息技术集团,S4-PPL-M-1768,科技人才库与机构库_20260727.xlsx,人才库-M,1768,"软通动力信息技术(集团)股份有限公司","","",unknown,"软通动力信息技术集团",1.0000,0,0,"same_anchor_id"
CANON-软通动力信息技术集团,S4-PPL-M-2746,科技人才库与机构库_20260727.xlsx,人才库-M,2746,"软通动力信息技术(集团)股份有限公司","","",unknown,"软通动力信息技术集团",1.0000,0,0,"same_anchor_id"
CANON-软通动力信息技术集团,S4-PPL-M-3820,科技人才库与机构库_20260727.xlsx,人才库-M,3820,"软通动力信息技术(集团)股份有限公司","","",unknown,"软通动力信息技术集团",1.0000,0,0,"same_anchor_id"
CANON-软通动力信息技术集团,S4-PPL-M-3961,科技人才库与机构库_20260727.xlsx,人才库-M,3961,"软通动力信息技术(集团)股份有限公司","","",unknown,"软通动力信息技术集团",1.0000,0,0,"same_anchor_id"
CANON-软通动力信息技术集团,S4-PPL-M-4405,科技人才库与机构库_20260727.xlsx,人才库-M,4405,"软通动力信息技术(集团)股份有限公司","","",unknown,"软通动力信息技术集团",1.0000,0,0,"same_anchor_id"
CANON-软通动力信息技术集团,S4-PPL-M-4617,科技人才库与机构库_20260727.xlsx,人才库-M,4617,"软通动力信息技术(集团)股份有限公司","","",unknown,"软通动力信息技术集团",1.0000,0,0,"same_anchor_id"
CANON-软通动力信息技术集团,S4-PPL-M-6483,科技人才库与机构库_20260727.xlsx,人才库-M,6483,"软通动力信息技术(集团)股份有限公司","","",unknown,"软通动力信息技术集团",1.0000,0,0,"same_anchor_id"
